sample-id,primer,Depth,env_broad_scale,env_local_scale,env_medium,geo_loc_name,Sample Name,RepGroup,ammonium,nitrate,diss_oxygen,ph,lake,info,depth,temp,conductivity,ChlA,turbidity,PAR,DRP,is_delta,latitude,longitude,BioProject,BioSample,BioSampleModel,Collection_Date,Experiment,geo_loc_name_country,geo_loc_name_country_continent,lat_lon,Library Name,Organism,SRA Study,elev,tot_org_carb,calcium,Chloride,magnesium,org_carb,sulfate,diss_org_carb,Salinity,potassium,sodium,TEMP,altitude
V63MW,1391f_EukBr,deep,Lake_Vanda,Ice-Covered Lake,water,Antarctica,V63MW,Vanda_63,,,,,vanda,vanda_water_column_63,63,15.92967,52909.27,,,,,,77.53841,161.5242,,,,,,,,,,,,,,,,,,,,,,,,
V66MW,1391f_EukBr,deep,Lake_Vanda,Ice-Covered Lake,water,Antarctica,V66MW,Vanda_66,,,,,vanda,vanda_water_column_66,66,18.534,86529.1,,,,,,77.53841,161.5242,,,,,,,,,,,,,,,,,,,,,,,,
V71MW,1391f_EukBr,anoxic,Lake_Vanda,Ice-Covered Lake,water,Antarctica,V71MW,Vanda_71,,,,,vanda,vanda_water_column_71,71,21.116,131745.9,,,,,,77.53841,161.5242,,,,,,,,,,,,,,,,,,,,,,,,
