OTUID,Domain,Supergroup,Division,Subdivision,Class,Order,Family,Genus,Species,Confidence
764573811df524729f9cee09df464234,Eukaryota,,,,,,,,,0.981582732
c0efa08889a897f30ea56f276caf08f1,Eukaryota,,,,,,,,,0.986084906
765e966fa88e7dbc2067f0b00968e7cc,Eukaryota,,,,,,,,,0.985865513
22245731324ce85f1ab2897ac82f3176,Eukaryota,,,,,,,,,0.977979774
4ca21d53011df578bd9d30e0a7af1842,Eukaryota,Obazoa,Opisthokonta,,,,,,,0.700307276
c626816c8a99dbdef65d791eb1c25236,Eukaryota,,,,,,,,,0.994540729
7073426265d0c02e865e245a1a360250,Eukaryota,,,,,,,,,0.994888292
2a9c40a157d9ed2133c8e1dd616f09e2,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Allapsidae,,,0.84194895
5d3e4f47f86375ca3bff22521a5e841b,Eukaryota,Obazoa,Opisthokonta,Metazoa,Cnidaria,Cnidaria_X,,,,0.707454967
e1bcb6f2d9c97384f9fa237860e947d0,Eukaryota,,,,,,,,,0.997088838
81126450db14371ef1da7f1d0961bcc2,Eukaryota,Obazoa,Opisthokonta,,,,,,,0.731997512
d9164f4253c6a03c91cdc1db4d21340d,Eukaryota,Obazoa,Opisthokonta,,,,,,,0.748848325
921fea9d31051e92b3eddf14869d93ad,Eukaryota,TSAR,Alveolata,Ciliophora,Oligohymenophorea,Peritrichia_2,Sessilida,Epistylis,,0.999432555
47861061a214ff22972fcc0710e37604,Eukaryota,TSAR,Rhizaria,Cercozoa,,,,,,0.860015243
5884a7c8389a63e9622b8111967926b2,Eukaryota,TSAR,Stramenopiles,Gyrista,,,,,,0.97056577
59fffcb5f274b7e2a36e71340839ed07,Eukaryota,TSAR,Stramenopiles,Bigyra,Sagenista,Labyrinthulomycetes,Amphifilaceae,,,0.896115161
06e2fc72b3a96dbb42eccc97e2fdb2fa,Eukaryota,TSAR,Stramenopiles,Bigyra,Sagenista,Labyrinthulomycetes,Amphifilaceae,Amphifilaceae_X,Amphifilaceae_X_sp.,0.999742522
