sample-id,primer,Depth,env_broad_scale,env_local_scale,env_medium,geo_loc_name,Sample Name,RepGroup,ammonium,nitrate,diss_oxygen,ph,lake,info,depth,temp,conductivity,ChlA,turbidity,PAR,DRP,is_delta,latitude,longitude,BioProject,BioSample,BioSampleModel,Collection_Date,Experiment,geo_loc_name_country,geo_loc_name_country_continent,lat_lon,Library Name,Organism,SRA Study,elev,tot_org_carb,calcium,Chloride,magnesium,org_carb,sulfate,diss_org_carb,Salinity,potassium,sodium,TEMP,altitude
SRR16573820,1391f_EukBr,surface,Midtre_Lovenbreen_glacier,Glacier Cryoconite,cryoconite,Svalbard,SvC,SvC,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114995,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2016,SRX12775845,Svalbard,Europe,,SvC,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573821,1391f_EukBr,surface,Midtre_Lovenbreen_glacier,Glacier Cryoconite,cryoconite,Svalbard,SvB,SvB,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114994,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2016,SRX12775844,Svalbard,Europe,,SvB,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573822,1391f_EukBr,surface,Canada_glacier,Glacier Cryoconite,cryoconite,Antarctica,CAN64,CAN64,,,,,,,0.17,,,,,,,,,,PRJNA744712,SAMN20114946,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2005,SRX12775843,uncalculated,uncalculated,77.62 S 163.00 E,CAN64,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573823,1391f_EukBr,surface,Midtre_Lovenbreen_glacier,Glacier Cryoconite,cryoconite,Svalbard,SvA,SvA,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114993,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2016,SRX12775842,Svalbard,Europe,,SvA,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573824,1391f_EukBr,surface,Miers_glacier,Glacier Cryoconite,cryoconite,Antarctica,MVCS3,MVCS3,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114992,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",,SRX12775841,uncalculated,uncalculated,,MVCS3,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573825,1391f_EukBr,surface,Miers_glacier,Glacier Cryoconite,cryoconite,Antarctica,MVC7,MVC7,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114991,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",,SRX12775840,uncalculated,uncalculated,,MVC7,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573826,1391f_EukBr,surface,Miers_glacier,Glacier Cryoconite,cryoconite,Antarctica,MVC6,MVC6,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114990,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",,SRX12775839,uncalculated,uncalculated,,MVC6,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573827,1391f_EukBr,surface,Miers_glacier,Glacier Cryoconite,cryoconite,Antarctica,MVC5,MVC5,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114989,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",,SRX12775838,uncalculated,uncalculated,,MVC5,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573828,1391f_EukBr,surface,Miers_glacier,Glacier Cryoconite,cryoconite,Antarctica,MVC4,MVC4,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114988,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",,SRX12775837,uncalculated,uncalculated,,MVC4,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573829,1391f_EukBr,surface,Lower_Wright_glacier,Glacier Cryoconite,cryoconite,Antarctica,LWC5,LWC5,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114986,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2012,SRX12775836,uncalculated,uncalculated,,LWC5,sediment metagenome,SRP327594,450,,,,,,,,,,,,
SRR16573830,1391f_EukBr,surface,Lower_Wright_glacier,Glacier Cryoconite,cryoconite,Antarctica,LWC4,LWC4,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114985,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2012,SRX12775835,uncalculated,uncalculated,,LWC4,sediment metagenome,SRP327594,450,,,,,,,,,,,,
SRR16573831,1391f_EukBr,surface,Lower_Wright_glacier,Glacier Cryoconite,cryoconite,Antarctica,LWC3,LWC3,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114984,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2012,SRX12775834,uncalculated,uncalculated,,LWC3,sediment metagenome,SRP327594,450,,,,,,,,,,,,
SRR16573832,1391f_EukBr,surface,Lower_Wright_glacier,Glacier Cryoconite,cryoconite,Antarctica,LWC2,LWC2,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114983,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2012,SRX12775833,uncalculated,uncalculated,,LWC2,sediment metagenome,SRP327594,450,,,,,,,,,,,,
SRR16573833,1391f_EukBr,surface,Canada_glacier,Glacier Cryoconite,cryoconite,Antarctica,CAN61,CAN61,,,,,,,0.19,,,,,,,,,,PRJNA744712,SAMN20114945,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2005,SRX12775832,uncalculated,uncalculated,77.61 S 162.99 E,CAN61,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573834,1391f_EukBr,surface,Lower_Wright_glacier,Glacier Cryoconite,cryoconite,Antarctica,LWC1,LWC1,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114982,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2012,SRX12775831,uncalculated,uncalculated,,LWC1,sediment metagenome,SRP327594,450,,,,,,,,,,,,
SRR16573835,1391f_EukBr,surface,Lower_Koettlitz_glacier,Glacier Cryoconite,cryoconite,Antarctica,LKGC5,LKGC5,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114981,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2013,SRX12775830,uncalculated,uncalculated,,LKGC5,sediment metagenome,SRP327594,30,,,,,,,,,,,,
SRR16573836,1391f_EukBr,surface,Lower_Koettlitz_glacier,Glacier Cryoconite,cryoconite,Antarctica,LKGC4,LKGC4,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114980,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2013,SRX12775829,uncalculated,uncalculated,,LKGC4,sediment metagenome,SRP327594,30,,,,,,,,,,,,
SRR16573837,1391f_EukBr,surface,Lower_Koettlitz_glacier,Glacier Cryoconite,cryoconite,Antarctica,LKGC3,LKGC3,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114979,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2013,SRX12775828,uncalculated,uncalculated,,LKGC3,sediment metagenome,SRP327594,30,,,,,,,,,,,,
SRR16573838,1391f_EukBr,surface,Lower_Koettlitz_glacier,Glacier Cryoconite,cryoconite,Antarctica,LKGC2,LKGC2,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114978,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2013,SRX12775827,uncalculated,uncalculated,,LKGC2,sediment metagenome,SRP327594,30,,,,,,,,,,,,
SRR16573839,1391f_EukBr,surface,Lower_Koettlitz_glacier,Glacier Cryoconite,cryoconite,Antarctica,LKGC1,LKGC1,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114977,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2013,SRX12775826,uncalculated,uncalculated,,LKGC1,sediment metagenome,SRP327594,30,,,,,,,,,,,,
SRR16573840,1391f_EukBr,surface,Upper_Koettlitz_glacier,Glacier Cryoconite,cryoconite,Antarctica,KSC33,KSC33,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114976,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2010,SRX12775825,uncalculated,uncalculated,,KSC33,sediment metagenome,SRP327594,800,,,,,,,,,,,,
SRR16573841,1391f_EukBr,surface,Upper_Koettlitz_glacier,Glacier Cryoconite,cryoconite,Antarctica,KSC23,KSC23,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114975,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2010,SRX12775824,uncalculated,uncalculated,,KSC23,sediment metagenome,SRP327594,800,,,,,,,,,,,,
SRR16573842,1391f_EukBr,surface,Upper_Koettlitz_glacier,Glacier Cryoconite,cryoconite,Antarctica,KSC17,KSC17,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114974,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2010,SRX12775823,uncalculated,uncalculated,,KSC17,sediment metagenome,SRP327594,800,,,,,,,,,,,,
SRR16573843,1391f_EukBr,surface,Upper_Koettlitz_glacier,Glacier Cryoconite,cryoconite,Antarctica,KSC16,KSC16,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114973,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2010,SRX12775822,uncalculated,uncalculated,,KSC16,sediment metagenome,SRP327594,800,,,,,,,,,,,,
SRR16573844,1391f_EukBr,surface,Canada_glacier,Glacier Cryoconite,cryoconite,Antarctica,CAN47,CAN47,,,,,,,0.31,,,,,,,,,,PRJNA744712,SAMN20114944,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2005,SRX12775821,uncalculated,uncalculated,77.62 S 162.99 E,CAN47,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573845,1391f_EukBr,surface,Upper_Koettlitz_glacier,Glacier Cryoconite,cryoconite,Antarctica,KSC14,KSC14,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114972,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2010,SRX12775820,uncalculated,uncalculated,,KSC14,sediment metagenome,SRP327594,800,,,,,,,,,,,,
SRR16573846,1391f_EukBr,surface,Upper_Koettlitz_glacier,Glacier Cryoconite,cryoconite,Antarctica,KSC13,KSC13,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114971,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2010,SRX12775819,uncalculated,uncalculated,,KSC13,sediment metagenome,SRP327594,800,,,,,,,,,,,,
SRR16573847,1391f_EukBr,surface,Greenland_Ice_margin_glacier,Glacier Cryoconite,cryoconite,Greenland,IM4,IM4,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114970,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2014,SRX12775818,Greenland,North America,,IM4,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573848,1391f_EukBr,surface,Greenland_Ice_margin_glacier,Glacier Cryoconite,cryoconite,Greenland,IM3,IM3,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114969,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2014,SRX12775817,Greenland,North America,,IM3,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573849,1391f_EukBr,surface,Greenland_Ice_margin_glacier,Glacier Cryoconite,cryoconite,Greenland,IM2,IM2,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114968,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2014,SRX12775816,Greenland,North America,,IM2,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573850,1391f_EukBr,surface,Greenland_Ice_margin_glacier,Glacier Cryoconite,cryoconite,Greenland,IM1,IM1,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114967,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2014,SRX12775815,Greenland,North America,,IM1,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573851,1391f_EukBr,ice_core_1m,Greenland_Ice_core_glacier,Glacier Cryoconite,cryoconite,Greenland,IC2,IC2,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114965,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2015,SRX12775814,Greenland,North America,,IC2,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573852,1391f_EukBr,ice_core_1m,Greenland_Ice_core_glacier,Glacier Cryoconite,cryoconite,Greenland,IC1,IC1,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114964,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2015,SRX12775813,Greenland,North America,,IC1,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573853,1391f_EukBr,surface,Kangerlussuaq_glacier,Glacier Cryoconite,cryoconite,Greenland,GrE8,GrE8,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114963,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2016,SRX12775812,Greenland,North America,,Gr E8,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573854,1391f_EukBr,surface,Kangerlussuaq_glacier,Glacier Cryoconite,cryoconite,Greenland,GrC8,GrC8,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114962,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2016,SRX12775811,Greenland,North America,,Gr C8,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573855,1391f_EukBr,surface,Canada_glacier,Glacier Cryoconite,cryoconite,Antarctica,CAN111,CAN111,,,,,,,0.14,,,,,,,,,,PRJNA744712,SAMN20114943,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2005,SRX12775810,uncalculated,uncalculated,77.61 S 162.98 E,CAN111,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573856,1391f_EukBr,surface,Kangerlussuaq_glacier,Glacier Cryoconite,cryoconite,Greenland,GrC11,GrC11,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114961,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2016,SRX12775809,Greenland,North America,,Gr C11,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573857,1391f_EukBr,surface,Diamond_glacier,Glacier Cryoconite,cryoconite,Antarctica,DGC4,DGC4,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114960,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2010,SRX12775808,uncalculated,uncalculated,,DGC4,sediment metagenome,SRP327594,600,,,,,,,,,,,,
SRR16573858,1391f_EukBr,surface,Commonwealth_glacier,Glacier Cryoconite,cryoconite,Antarctica,COM81,COM81,,,,,,,0.16,,,,,,,,,,PRJNA744712,SAMN20114958,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2007,SRX12775807,uncalculated,uncalculated,77.56 S 163.28 E,COM81,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573859,1391f_EukBr,surface,Commonwealth_glacier,Glacier Cryoconite,cryoconite,Antarctica,COM80,COM80,,,,,,,0.33,,,,,,,,,,PRJNA744712,SAMN20114957,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2007,SRX12775806,uncalculated,uncalculated,77.56 S 163.28 E,COM80,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573860,1391f_EukBr,surface,Commonwealth_glacier,Glacier Cryoconite,cryoconite,Antarctica,COM7,COM7,,,,,,,0.21,,,,,,,,,,PRJNA744712,SAMN20114956,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2005,SRX12775805,uncalculated,uncalculated,77.58 S 163.31 E,COM7,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573861,1391f_EukBr,surface,Commonwealth_glacier,Glacier Cryoconite,cryoconite,Antarctica,COM65,COM65,,,,,,,0.3,,,,,,,,,,PRJNA744712,SAMN20114955,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2007,SRX12775804,uncalculated,uncalculated,77.58 S 163.28 E,COM65,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573862,1391f_EukBr,surface,Commonwealth_glacier,Glacier Cryoconite,cryoconite,Antarctica,COM62,COM62,,,,,,,0.27,,,,,,,,,,PRJNA744712,SAMN20114954,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2007,SRX12775803,uncalculated,uncalculated,77.57 S 163.27 E,COM62,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573863,1391f_EukBr,surface,Commonwealth_glacier,Glacier Cryoconite,cryoconite,Antarctica,COM58,COM58,,,,,,,0.35,,,,,,,,,,PRJNA744712,SAMN20114953,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2007,SRX12775802,uncalculated,uncalculated,77.57 S 163.30 E,COM58,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573864,1391f_EukBr,surface,Commonwealth_glacier,Glacier Cryoconite,cryoconite,Antarctica,COM57,COM57,,,,,,,0.255,,,,,,,,,,PRJNA744712,SAMN20114952,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2007,SRX12775801,uncalculated,uncalculated,77.57 S 163.30 E,COM57,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573865,1391f_EukBr,surface,Commonwealth_glacier,Glacier Cryoconite,cryoconite,Antarctica,COM55,COM55,,,,,,,0.355,,,,,,,,,,PRJNA744712,SAMN20114951,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2007,SRX12775800,uncalculated,uncalculated,77.57 S 163.32 E,COM55,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573866,1391f_EukBr,surface,Canada_glacier,Glacier Cryoconite,cryoconite,Antarctica,CAN102,CAN102,,,,,,,0.28,,,,,,,,,,PRJNA744712,SAMN20114942,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2005,SRX12775799,uncalculated,uncalculated,77.61 S 163.04 E,CAN102,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573867,1391f_EukBr,surface,Canada_glacier,Glacier Cryoconite,cryoconite,Antarctica,CAN101,CAN101,,,,,,,0.2,,,,,,,,,,PRJNA744712,SAMN20114941,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2005,SRX12775798,uncalculated,uncalculated,77.62 S 63.039 E,CAN101,sediment metagenome,SRP327594,,,,,,,,,,,,,
