sample-id,primer,Depth,env_broad_scale,env_local_scale,env_medium,geo_loc_name,Sample Name,RepGroup,ammonium,nitrate,diss_oxygen,ph,lake,info,depth,temp,conductivity,ChlA,turbidity,PAR,DRP,is_delta,latitude,longitude,BioProject,BioSample,BioSampleModel,Collection_Date,Experiment,geo_loc_name_country,geo_loc_name_country_continent,lat_lon,Library Name,Organism,SRA Study,elev,tot_org_carb,calcium,Chloride,magnesium,org_carb,sulfate,diss_org_carb,Salinity,potassium,sodium,TEMP,altitude
SRR16573804,1391f_EukBr,surface,Commonwealth_glacier,Glacier Cryoconite,cryoconite,Antarctica,COM54,COM54,,,,,,,0.295,,,,,,,,,,PRJNA744712,SAMN20114950,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2007,SRX12775861,uncalculated,uncalculated,77.57 S 163.33 E,COM54,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573805,1391f_EukBr,surface,Canada_glacier,Glacier Cryoconite,cryoconite,Antarctica,CAN87,CAN87,,,,,,,0.19,,,,,,,,,,PRJNA744712,SAMN20114949,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2005,SRX12775860,uncalculated,uncalculated,77.63 S 162.99 E,CAN87,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573806,1391f_EukBr,surface,Canada_glacier,Glacier Cryoconite,cryoconite,Antarctica,CAN81,CAN81,,,,,,,0.28,,,,,,,,,,PRJNA744712,SAMN20114948,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2005,SRX12775859,uncalculated,uncalculated,77.62 S 162.98 E,CAN81,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573807,1391f_EukBr,surface,Utsteinen_nunatak,Glacier Cryoconite,cryoconite,Antarctica,Ust4,Ust4,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20115009,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2017,SRX12775858,uncalculated,uncalculated,71.96 S 23.32 E,Ust4,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573808,1391f_EukBr,surface,Taylor_glacier,Glacier Cryoconite,cryoconite,Antarctica,TAY44,TAY44,,,,,,,0.6,,,,,,,,,,PRJNA744712,SAMN20115008,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2008,SRX12775857,uncalculated,uncalculated,77.76 S 161.84 E,TAY44,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573809,1391f_EukBr,surface,Taylor_glacier,Glacier Cryoconite,cryoconite,Antarctica,TAY42,TAY42,,,,,,,0.53,,,,,,,,,,PRJNA744712,SAMN20115007,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2008,SRX12775856,uncalculated,uncalculated,77.76 S 161.83 E,TAY42,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573810,1391f_EukBr,surface,Taylor_glacier,Glacier Cryoconite,cryoconite,Antarctica,TAY40,TAY40,,,,,,,0.34,,,,,,,,,,PRJNA744712,SAMN20115006,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2008,SRX12775855,uncalculated,uncalculated,77.76 S 161.82 E,TAY40,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573811,1391f_EukBr,surface,Canada_glacier,Glacier Cryoconite,cryoconite,Antarctica,CAN75,CAN75,,,,,,,0.17,,,,,,,,,,PRJNA744712,SAMN20114947,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2005,SRX12775854,uncalculated,uncalculated,77.62 S 162.96 E,CAN75,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573812,1391f_EukBr,surface,Taylor_glacier,Glacier Cryoconite,cryoconite,Antarctica,TAY38,TAY38,,,,,,,0.45,,,,,,,,,,PRJNA744712,SAMN20115005,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2008,SRX12775853,uncalculated,uncalculated,77.76 S 161.84 E,TAY38,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573813,1391f_EukBr,surface,Taylor_glacier,Glacier Cryoconite,cryoconite,Antarctica,TAY29,TAY29,,,,,,,0.75,,,,,,,,,,PRJNA744712,SAMN20115004,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2007,SRX12775852,uncalculated,uncalculated,77.74 S 162.13 E,TAY29,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573814,1391f_EukBr,surface,Taylor_glacier,Glacier Cryoconite,cryoconite,Antarctica,TAY19,TAY19,,,,,,,0.59,,,,,,,,,,PRJNA744712,SAMN20115003,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2006,SRX12775851,uncalculated,uncalculated,77.74 S 162.10 E,TAY19,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573815,1391f_EukBr,surface,Taylor_glacier,Glacier Cryoconite,cryoconite,Antarctica,TAY18,TAY18,,,,,,,0.51,,,,,,,,,,PRJNA744712,SAMN20115002,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2006,SRX12775850,uncalculated,uncalculated,77.75 S 162.00 E,TAY18,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573816,1391f_EukBr,surface,Storglaciaren,Glacier Cryoconite,cryoconite,Sweden,SZ,SZ,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20115000,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2017,SRX12775849,Sweden,Europe,,Sweden Z/SZ,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573817,1391f_EukBr,surface,Storglaciaren,Glacier Cryoconite,cryoconite,Sweden,SY,SY,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114999,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2017,SRX12775848,Sweden,Europe,,Sweden Y/SY,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573818,1391f_EukBr,surface,Storglaciaren,Glacier Cryoconite,cryoconite,Sweden,SX,SX,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114998,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2017,SRX12775847,Sweden,Europe,,Sweden X/SX,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573819,1391f_EukBr,surface,Midtre_Lovenbreen_glacier,Glacier Cryoconite,cryoconite,Svalbard,SvE,SvE,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114997,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2016,SRX12775846,Svalbard,Europe,,SvE,sediment metagenome,SRP327594,,,,,,,,,,,,,
