sample-id,primer,Depth,env_broad_scale,env_local_scale,env_medium,geo_loc_name,Sample Name,RepGroup,ammonium,nitrate,diss_oxygen,ph,lake,info,depth,temp,conductivity,ChlA,turbidity,PAR,DRP,is_delta,latitude,longitude,BioProject,BioSample,BioSampleModel,Collection_Date,Experiment,geo_loc_name_country,geo_loc_name_country_continent,lat_lon,Library Name,Organism,SRA Study,elev,tot_org_carb,calcium,Chloride,magnesium,org_carb,sulfate,diss_org_carb,Salinity,potassium,sodium,TEMP,altitude
Bon18.1,1391f_EukBr,deep,Lake_Bonney_East,Ice-Covered Lake,mat,Antarctica,Bon18.1,Bonney_East_18,13.8,0.04,,6.8,bonney,prostrate,18,4.6,28000,,,0.643143,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bon18.2,1391f_EukBr,deep,Lake_Bonney_East,Ice-Covered Lake,mat,Antarctica,Bon18.2,Bonney_East_18,13.8,0.04,,6.8,bonney,prostrate,18,4.6,28000,,,0.643143,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bon18.3,1391f_EukBr,deep,Lake_Bonney_East,Ice-Covered Lake,mat,Antarctica,Bon18.3,Bonney_East_18,13.8,0.04,,6.8,bonney,prostrate,18,4.6,28000,,,0.643143,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bon22.1,1391f_EukBr,deep,Lake_Bonney_East,Ice-Covered Lake,mat,Antarctica,Bon22.1,Bonney_East_22,41,0.1,,6.67,bonney,prostrate,22,4.3,60600,,,0.414208,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bon22.2,1391f_EukBr,deep,Lake_Bonney_East,Ice-Covered Lake,mat,Antarctica,Bon22.2,Bonney_East_22,41,0.1,,6.67,bonney,prostrate,22,4.3,60600,,,0.414208,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bon22.3,1391f_EukBr,deep,Lake_Bonney_East,Ice-Covered Lake,mat,Antarctica,Bon22.3,Bonney_East_22,41,0.1,,6.67,bonney,prostrate,22,4.3,60600,,,0.414208,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
