OTUID,Domain,Supergroup,Division,Subdivision,Class,Order,Family,Genus,Species,Confidence
d021eab9c5f9e5f5c0bc19ff07a41ba0,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,Choanoflagellatea_X,Choanoflagellata_XX_Clade-2,Sphaeroeca,,0.998024874
eec69c0b6e34039c9b94b26936840fb5,Eukaryota,TSAR,Alveolata,Ciliophora,Oligohymenophorea,Peritrichia_2,Sessilida,Carchesium,Carchesium_polypinum,0.954519616
0af299e03f6aae2043fb0258095da082,Eukaryota,TSAR,Alveolata,Ciliophora,CONTH_7,CONTH_7_X,CONTH_7_XX,CONTH_7_XXX,CONTH_7_XXX_sp.,0.999588683
c49e2b4165e59e7cd8ab32154cad8d2e,Eukaryota,TSAR,Alveolata,Ciliophora,Oligohymenophorea,Peritrichia_2,Sessilida,,,0.99998569
a9848318f46742d3efb5c23b41ae19f7,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Imbricatea,Spongomonadida,Spongomonadidae,Spongomonadidae_X,Spongomonadidae_X_sp.,0.910215025
af08980c320c9ae338442513b5897d37,Eukaryota,TSAR,Alveolata,Ciliophora,Spirotrichea,Choreotrichida,Strobilidiidae,Strobilidiidae_X,Strobilidiidae_X_sp.,0.999815863
14203c29d6ca0dd37fcd0e2316177339,Eukaryota,TSAR,Alveolata,Perkinsea,Perkinsida,Perkinsida_X,Perkinsida_XX,Perkinsida_XXX,Perkinsida_XXX_sp.,0.999947432
98959541d1075210fb38191c809674d8,Eukaryota,TSAR,Alveolata,,,,,,,0.858660183
ac98e229ae5de24acb39bd0c6a7f0580,Eukaryota,TSAR,Alveolata,,,,,,,0.878173433
26d4b3cbfb7402c7cb98502b270693b5,Eukaryota,TSAR,Alveolata,Ciliophora,Ciliophora_X,Ciliophora_XX,Ciliophora_XXX,Mesodinium,Mesodinium_sp.,0.974489524
c3e538412750794dd04ace5ca7f9fd6b,Eukaryota,TSAR,Alveolata,Ciliophora,Ciliophora_X,Ciliophora_XX,Ciliophora_XXX,Mesodinium,Mesodinium_sp.,0.962503449
83feb0deb77c5f7073351302e2eaf962,Eukaryota,TSAR,Alveolata,Ciliophora,Ciliophora_X,Ciliophora_XX,Ciliophora_XXX,Mesodinium,Mesodinium_sp.,0.992365323
c2a2814930bb70d7b8ed0f3d87fc3c26,Eukaryota,TSAR,Alveolata,Ciliophora,Ciliophora_X,Ciliophora_XX,Ciliophora_XXX,Mesodinium,,1
d1e4fbc251a373964f8dd413fe384863,Eukaryota,TSAR,Alveolata,Ciliophora,Ciliophora_X,Ciliophora_XX,Ciliophora_XXX,Mesodinium,,1
690e2273c10c05bf4f9b7b59c0007b5e,Eukaryota,TSAR,Alveolata,Ciliophora,Ciliophora_X,Ciliophora_XX,Ciliophora_XXX,Mesodinium,Mesodinium_rubrum,0.913643556
947f649fdd4e28423d40e9f4c76e0060,Eukaryota,Obazoa,Opisthokonta,,,,,,,0.780998252
7a9e6cb49215667da0fefd264cd6147e,Eukaryota,,,,,,,,,0.997822872
a474c02712c8bc614aea0e2fbe3fab1e,Eukaryota,,,,,,,,,0.995249318
a539ea8b352f17e700b0aba843fd98d5,Eukaryota,,,,,,,,,0.995231357
9f54de770a034893fba4a2ea625c6e63,Eukaryota,,,,,,,,,0.96997896
ef3b0aa34a49c11af413aaf221087063,Eukaryota,,,,,,,,,0.975169814
ac605672c362eb35cf0c1ed893def4e9,Eukaryota,TSAR,Alveolata,Ciliophora,Phyllopharyngea,Cyrtophoria_5,Chlamydodontidae,Chlamydodon,,0.714159505
146e3c4c08e9adc71288eb81db3a9bac,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,Choanoflagellatea_X,Choanoflagellata_XX_Clade-2,Sphaeroeca,Sphaeroeca_volvox,0.951486951
2b50c42a60af3a2e89e5c8f4ee5d11d2,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,Choanoflagellatea_X,Choanoflagellata_XX_Clade-2,Sphaeroeca,Sphaeroeca_volvox,0.951486945
814c738592f6f68089242256a369852b,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,Choanoflagellatea_X,Choanoflagellata_XX_Clade-2,Sphaeroeca,Sphaeroeca_volvox,0.949148391
ba4dbded9611f052a6f924f22f40191c,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,Choanoflagellatea_X,Choanoflagellata_XX_Clade-2,Sphaeroeca,Sphaeroeca_volvox,0.93067
6761af9b9d5cf8627e419e3f79e49983,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,Choanoflagellatea_X,Choanoflagellata_XX_Clade-2,Sphaeroeca,,0.996519953
9bf76a5cba7ff8e93cb0972964d641b0,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,Choanoflagellatea_X,Choanoflagellata_XX_Clade-2,Sphaeroeca,,0.996077438
5c4fa65423a2a3753704bb35aae9a962,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,Choanoflagellatea_X,Choanoflagellata_XX_Clade-2,Sphaeroeca,,0.996077413
