Feature ID	Taxon	Confidence
5cfd704695f3e2ddfa1aa5068f77521b	Eukaryota	0.9844683115060298
b17cf767bf80351f9d3a39f41535da26	Eukaryota	0.9853406783156502
8540a239dbd2259c55f081104d67e168	Eukaryota	0.9918959894836314
128ff2c2968404f299a2aec100c4afe9	Eukaryota	0.9912852630808056
b8bf2dc2e069a5b3bb668fc9215859d0	Eukaryota	0.9911122756004623
c8f33d2313bc9ff07780567580cac1c5	Eukaryota	0.9929916032826944
7cd313133c5fee51b3f3069651015096	Eukaryota	0.9939590167112495
2d33a436d6c9b12ce62fcc8458ec476f	Eukaryota	0.9936197965214182
8e2925c07b4cd0b35cb6ec3db076b466	Eukaryota	0.9941776791507716
cf63dbc4937bd903af5096b4d8f4900c	Eukaryota	0.9952187227736248
e20ec16717c41d8804ed320439d8608d	Eukaryota	0.9957496209528263
c95cd29d6ec842b3bea2db1f41e82ff3	Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Labyrinthulomycetes;Amphifilaceae	0.9748599201253701
67a9b7e71d331ee5f620d342803871dd	Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Labyrinthulomycetes;Amphifilaceae	0.9727029787703609
8d50b9101801daa47f9ee90a7754b1cc	Eukaryota	0.9178819716417198
7f8deef1277045a68b6de9c06929d388	Eukaryota	0.9245770565492338
4b22881f818944d0df57864b18a5ff4a	Eukaryota	0.9389892299707258
e8470b945cc8865a1c2ce58c033bf0c4	Eukaryota	0.9970768692617133
84b727ddbfd0b38332676e14d447b04a	Eukaryota	0.9982967677255432
d754d0dba9e2ee0852cec67952ff2e79	Eukaryota	0.9985156972822675
3770a3e8b529c75c2a5dc6c3c3e64dbb	Eukaryota	0.99857841544759
3c10faa9480d0e596d7a41af7a58384c	Eukaryota	0.9985630602236246
cfddac328fcd8cc4300d42b95015910d	Eukaryota	0.9986117745935483
d4567e1cabfd422cda74f153be87d384	Eukaryota	0.998496338863185
7fab4cc115d221e3cf46ad0ec628e8aa	Eukaryota	0.9984324887989366
