OTUID,Domain,Supergroup,Division,Subdivision,Class,Order,Family,Genus,Species,Confidence
f4ae02ff72299770af13716ab3fd09b3,Eukaryota,TSAR,Rhizaria,Cercozoa,Endomyxa,Vampyrellida,,,,0.912655781
33998db32c4633e8f67a26dcd7846678,Eukaryota,Excavata,Discoba,Discoba_X,Discoba_XX,Jakobida,Stygiellidae,Stygiella,Stygiella_incarcerata,1
2779940cf8762ebe531b3017535d8683,Eukaryota,,,,,,,,,0.952077604
990c4fe5899859215bb6961f744117dc,Eukaryota,,,,,,,,,0.998668311
575e929fb182ce55fdf058aa81dbf9f3,Unassigned,,,,,,,,,0.932169896
fa6f216574015de587ba0d0aefed1c12,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,,,,,0.999624054
63076f1078e4aa8401323da7308878ec,Eukaryota,,,,,,,,,0.995933045
2ec9314dce17283c0afb6d14c95f0114,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Thecofilosea,Ebriacea,TAGIRI1-lineage,TAGIRI1-lineage_X,TAGIRI1-lineage_X_sp.,0.999948181
e7a61c6113c0b4261f5ebf24445a58ba,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Thecofilosea,Ebriacea,TAGIRI1-lineage,TAGIRI1-lineage_X,TAGIRI1-lineage_X_sp.,0.999960338
2ac21cc6437a2ea9b1e7d89628232090,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Protaspa-lineage,Protaspa-lineage_X,Protaspa-lineage_X_sp.,0.987987901
e252efcbc82225a14678721b6a87f86e,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Cryothecomonas-lineage,Cryothecomonas,,0.748676964
4684ee7a131ff2d828e8e77c272ee04f,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Cryothecomonas-lineage,Cryothecomonas,Cryothecomonas_aestivalis,0.737347383
